FSM,Test-Cases,Threads,Total CPU,Execution GPU,Total GPU
aim.test,1344963,32,1477.4282535857,0,0
aim.test,1344963,8,4459.3542879131,0,0
aim.test,1344963,4,6729.2487658182,0,0
aim.test,1344963,1,10484.4974958182,0,0
aim.test,1024000,32,401.10152639,482.49973952,779.99573774
aim.test,1024000,8,924.25072771,482.49973952,779.99573774
aim.test,1024000,4,1529.3609345067,482.49973952,779.99573774
aim.test,1024000,1,3874.5530664138,482.49973952,779.99573774
aim.test,131072,32,15.63431748,56.42370336,95.44438455
aim.test,131072,8,27.68912123,56.42370336,95.44438455
aim.test,131072,4,49.33716953,56.42370336,95.44438455
aim.test,131072,1,156.32198944,56.42370336,95.44438455
aim.test,65536,32,5.23999837,28.59836288,49.42742261
aim.test,65536,8,10.0435028,28.59836288,49.42742261
aim.test,65536,4,18.44320905,28.59836288,49.42742261
aim.test,65536,1,61.26883585,28.59836288,49.42742261
aim.test,16384,32,1.40526305,8.38100768,13.89896823
aim.test,16384,8,2.63557925,8.38100768,13.89896823
aim.test,16384,4,3.81938876,8.38100768,13.89896823
aim.test,16384,1,14.28962682,8.38100768,13.89896823
aim.test,4096,32,0.65869678,2.8113072,4.33568134
aim.test,4096,8,0.79573513,2.8113072,4.33568134
aim.test,4096,4,1.37040732,2.8113072,4.33568134
aim.test,4096,1,3.05240245,2.8113072,4.33568134
aim.test,256,32,0.0237879,2.10197216,2.403146
aim.test,256,8,0.02631613,2.10197216,2.403146
aim.test,256,4,0.05972324,2.10197216,2.403146
aim.test,256,1,0.12456809,2.10197216,2.403146
